id,fecha,escuderia,motor,carrera_id,circuito,pais,vueltas,tiempo_carrera_min,posicion_final,puntos,podio,dnf,vuelta_rapida,clima,temperatura_pista_c
1,2021-03-28,Mercedes,Mercedes,1,Bahrain International Circuit,Bahrain,56,96.5,1,25,True,False,True,Seco,35.2
2,2021-03-28,Red Bull Racing,Honda,1,Bahrain International Circuit,Bahrain,56,96.8,2,18,True,False,False,Seco,35.0
3,2021-03-28,Ferrari,Ferrari,1,Bahrain International Circuit,Bahrain,56,98.2,4,12,False,False,False,Seco,35.1
4,2021-03-28,McLaren,Mercedes,1,Bahrain International Circuit,Bahrain,56,97.6,3,15,True,False,False,Seco,34.9
5,2021-03-28,Alpine,Renault,1,Bahrain International Circuit,Bahrain,55,98.5,8,4,False,False,False,Seco,34.8
6,2021-04-18,Mercedes,Mercedes,2,Autodromo Internazionale Enzo e Dino Ferrari,Italia,63,122.1,2,19,True,False,False,Lluvioso,18.5
7,2021-04-18,Red Bull Racing,Honda,2,Autodromo Internazionale Enzo e Dino Ferrari,Italia,63,120.4,1,26,True,False,True,Lluvioso,18.2
8,2021-04-18,Ferrari,Ferrari,2,Autodromo Internazionale Enzo e Dino Ferrari,Italia,63,123.0,3,15,True,False,False,Lluvioso,18.4
9,2021-04-18,McLaren,Mercedes,2,Autodromo Internazionale Enzo e Dino Ferrari,Italia,63,123.5,4,12,False,False,False,Lluvioso,18.3
10,2021-04-18,Alpine,Renault,2,Autodromo Internazionale Enzo e Dino Ferrari,Italia,62,124.0,9,2,False,False,False,Lluvioso,18.0
11,2022-03-20,Ferrari,Ferrari,3,Bahrain International Circuit,Bahrain,57,97.1,1,26,True,False,True,Seco,38.5
12,2022-03-20,Red Bull Racing,RBPT,3,Bahrain International Circuit,Bahrain,57,98.9,18,0,False,True,False,Seco,38.6
13,2022-03-20,Mercedes,Mercedes,3,Bahrain International Circuit,Bahrain,57,98.0,3,15,True,False,False,Seco,38.2
14,2022-03-20,McLaren,Mercedes,3,Bahrain International Circuit,Bahrain,56,99.2,14,0,False,False,False,Seco,38.0
